slug,name,event_type,output_root,value_col,r_max_km,time_min,time_max,sigma1_energy,rank1_rel_error,S_max_abs_delta,mode_used,n_r_bins_raw,n_time_raw,n_r_bins_used,n_time_used,nan_frac_raw_matrix
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9726964916569393,0.1652377328065858,0.21430741743583126,drop_complete,11,11,11,11,0.0
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9612335708295805,0.19689192256265714,0.369116170580027,drop_complete,8,15,6,2,0.125
typhoon_yagi_across_northeastern_vietnam,typhoon_yagi_across_northeastern_vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,100.0,,,0.9479603072400864,0.2281221005512477,0.7657633224849418,drop_complete,11,11,11,11,0.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9453874362622244,0.23369331128163615,0.3520272647859739,drop_complete,11,12,11,12,0.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9334782030273162,0.257918198219288,0.15559492598425484,drop_complete,11,10,11,10,0.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9298042914035376,0.2649447274366152,0.19927399015558045,drop_complete,11,7,11,7,0.0
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9260395820991886,0.2719566470980465,0.3292482123622946,drop_complete,11,15,11,15,0.0
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9185007087567523,0.2854808071363951,0.784892720723101,drop_complete,11,27,11,27,0.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.9109392977616483,0.2984303976446631,0.842254393235784,drop_complete,5,11,5,11,0.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.8496531254077409,0.38774588920098096,0.13340181206034918,drop_complete,11,15,11,15,0.0
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,phi_overlap,100.0,,,0.8145872834575473,0.430595769303941,0.8663653176905792,drop_complete,11,36,11,36,0.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.7545406844930215,0.4954385083004534,0.31799874798567795,drop_complete,11,14,11,14,0.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.708712181557054,0.5397108655965207,1.5739501834059366,fill_missing_fallback,11,14,11,14,0.08441558441558442
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,100.0,,,0.5367230932444168,0.6806444789723806,0.6939778968826663,drop_complete,11,15,11,15,0.0
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.9896588987115015,0.10169120556124052,0.5216639037719394,drop_complete,18,15,16,2,0.05555555555555555
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.9684214939926664,0.1777034214845998,0.21430741743583126,drop_complete,21,11,21,11,0.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.9450025882685947,0.2345152697190637,0.3520272647859739,drop_complete,21,12,21,12,0.0
