slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf,D_baseline_std,D_peak_snr
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/unified_static_h8,27,27,24.0,0,519.0,0.1426724059165762,INFL,0.10130224222134002,0.8717764245837184,,
global_earthquake_model_research_2025_sep_18,global_earthquake_mode,Global Earthquake Model Research 2025 Sep 18,earthquake,outputs/_runs/unified_static_h8,2,2,24.0,0,48.0,0.0566188940615671,EXCLUDED_SHORT,,,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/unified_static_h8,14,14,24.0,0,4.0,0.2361301317007472,EVAC,-0.441916794587687,0.08322137413214004,,
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/unified_static_h8,15,15,24.0,0,0.0,0.24076115611938526,EVAC,-0.279299263948949,0.11688674322546568,,
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,Hurricane Beryl Jamaica And Western Caribbean Pre Landfall July 3 2024,hurricane,outputs/_runs/unified_static_h8,14,14,24.0,0,63.0,0.5637501440286489,EVAC,-0.4043102839178534,0.29023022652565456,,
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/unified_static_h8,0,0,,0,,,EXCLUDED_SHORT,,,,
hurricane_debby_across_florida_and_georgia_us,debby_pre,"Hurricane Debby Across Florida and Georgia, US",hurricane,outputs/_runs/unified_static_h8,8,8,24.0,0,220.0,0.04413284569152167,NEUTRAL,-0.010765880977208594,,,
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/unified_static_h8,15,15,24.0,0,48.0,0.08680429113640102,INFL,0.0692051876134339,0.331393410798426,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/unified_static_h8,12,12,24.0,0,264.0,0.21994754521327317,INFL,0.1743755540274281,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/unified_static_h8,7,7,24.0,0,179.75,0.18616370552199735,EVAC,-0.2564191584045255,0.43967566493477794,,
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/unified_static_h8,13,13,24.0,0,-1.0,0.1131340460233175,INFL,0.04964026664173063,0.7976843132890192,,
hurricane_melissa_10_27_2025,melissa,Hurricane Melissa 10 27 2025,hurricane,outputs/_runs/unified_static_h8,5,5,24.0,0,48.0,0.4859721502432578,NEUTRAL,,0.24918080348352806,,
