slug,name,event_type,output_root,source,value_col,S_max_abs_delta,near_r_max_km,n_tiles_overlap_near_mean,n_r_bins_raw,n_time_raw,svd_complete_sigma1_energy,svd_complete_mode_used,svd_complete_rank1_rel_error,svd_fill_sigma1_energy,svd_fill_mode_used,svd_fill_rank1_rel_error
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.5216639037719394,50.0,4.352941176470588,18,15,0.9896588987115015,drop_complete,0.10169120556124052,0.8090552041857954,fill_missing,0.43697230554602046
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.3520272647859739,50.0,795.3333333333334,50,12,0.9545283057178885,drop_complete,0.2132409301286023,0.9545283057178885,fill_missing,0.2132409301286023
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,6.043410634389885,50.0,567.7666666666667,35,10,0.9498476534276082,drop_complete,0.2239471959467046,0.9498476534276082,fill_missing,0.2239471959467046
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.2371536287262035,50.0,39.80952380952381,50,7,0.9315811524300637,drop_complete,0.2615699668729884,0.9315811524300637,fill_missing,0.2615699668729884
typhoon_yagi_across_northeastern_vietnam,typhoon_yagi_across_northeastern_vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,root:outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,0.7657633224849418,50.0,176.07575757575756,18,11,0.926156258036644,drop_complete,0.27174205041427785,0.926156258036644,fill_missing,0.27174205041427785
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.784892720723101,50.0,13.561728395061728,24,27,0.9030011766151556,drop_complete,0.31144634110042846,0.9030011766151556,fill_missing,0.31144634110042846
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,event:outputs,phi_overlap,0.8663653176905792,50.0,94.54166666666667,50,36,0.897350089766116,drop_complete,0.32039024678333117,0.897350089766116,fill_missing,0.32039024678333117
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.4519464454697264,50.0,281.9848484848485,31,11,0.7813216294404275,drop_complete,0.4676305919842847,0.7813216294404275,fill_missing,0.4676305919842847
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.842254393235784,50.0,,44,11,0.7641560583401303,drop_complete,0.4856376649930171,0.7641560583401303,fill_missing,0.4856376649930171
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.3292482123622946,50.0,816.7555555555556,36,15,0.7504022171059168,drop_complete,0.49959762098521165,0.7504022171059168,fill_missing,0.49959762098521165
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.3595774860789557,50.0,345.0444444444444,35,15,0.6893024977582487,drop_complete,0.5574024598454432,0.6893024977582487,fill_missing,0.5574024598454432
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,1.5739501834059366,50.0,30.208333333333332,50,14,0.6523616815543206,fill_missing_fallback,0.5896086146298061,0.6523616815543206,fill_missing,0.5896086146298061
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.6939778968826663,50.0,154.88888888888889,50,15,0.6418648933398388,drop_complete,0.5984439043554222,0.6418648933398388,fill_missing,0.5984439043554222
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.39819105370219865,50.0,185.3095238095238,50,14,0.3709539743470223,drop_complete,0.7931242182993643,0.3709539743470223,fill_missing,0.7931242182993643
